frequency_hz,two_ray_los_db,two_ray_with_reflector_db,room_metal_db,room_concrete_db,room_foam_board_db
5764000000.0,-57.662262664722405,-56.34195313382881,-57.0021939552846,-58.40313304936991,-59.845661477649806
5766000000.0,-57.66527598292715,-56.56399003793745,-57.0021939552846,-58.40313304936991,-59.845661477649806
5768000000.0,-57.66828825611083,-56.79571811949784,-57.0021939552846,-58.40313304936991,-59.845661477649806
5770000000.0,-57.671299484998,-57.03760116433873,-57.0021939552846,-58.40313304936991,-59.845661477649806
5772000000.0,-57.67430967031251,-57.29014316110039,-57.0021939552846,-58.40313304936991,-59.845661477649806
5774000000.0,-57.67731881277741,-57.55389227925129,-57.0021939552846,-58.40313304936991,-59.845661477649806
5776000000.0,-57.68032691311503,-57.82944521814282,-57.0021939552846,-58.40313304936991,-59.845661477649806
5778000000.0,-57.68333397204693,-58.117451919003514,-57.0021939552846,-58.40313304936991,-59.845661477649806
5780000000.0,-57.68633999029396,-58.41862060253724,-57.0021939552846,-58.40313304936991,-59.845661477649806
5782000000.0,-57.68934496857615,-58.73372304721194,-57.0021939552846,-58.40313304936991,-59.845661477649806
5784000000.0,-57.69234890761286,-59.06359994732567,-57.0021939552846,-58.40313304936991,-59.845661477649806
5786000000.0,-57.69535180812266,-59.40916606994951,-57.0021939552846,-58.40313304936991,-59.845661477649806
5788000000.0,-57.69835367082337,-59.771414741544774,-57.0021939552846,-58.40313304936991,-59.845661477649806
5790000000.0,-57.701354496432096,-60.15142090053807,-57.0021939552846,-58.40313304936991,-59.845661477649806
5792000000.0,-57.70435428566518,-60.55034149195979,-57.0021939552846,-58.40313304936991,-59.845661477649806
5794000000.0,-57.70735303923823,-60.9694112610196,-57.0021939552846,-58.40313304936991,-59.845661477649806
5796000000.0,-57.71035075786611,-61.409930877317436,-57.0021939552846,-58.40313304936991,-59.845661477649806
5798000000.0,-57.71334744226294,-61.87324256006002,-57.0021939552846,-58.40313304936991,-59.845661477649806
5800000000.0,-57.71634309314212,-62.36068561945716,-57.0021939552846,-58.40313304936991,-59.845661477649806
5802000000.0,-57.719337711216276,-62.87352003439714,-57.0021939552846,-58.40313304936991,-59.845661477649806
5804000000.0,-57.722331297197336,-63.412799549645115,-57.0021939552846,-58.40313304936991,-59.845661477649806
5806000000.0,-57.725323851796475,-63.979165703808356,-57.0021939552846,-58.40313304936991,-59.845661477649806
5808000000.0,-57.72831537572412,-64.57251944630599,-57.0021939552846,-58.40313304936991,-59.845661477649806
